,location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,date_
0,Brazil,0,2020-12-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-14
1,Brazil,0,2020-12-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-15
2,Brazil,0,2020-12-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-16
3,Brazil,0,2020-12-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-17
4,Brazil,0,2020-12-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-18
5,Brazil,0,2020-12-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-19
6,Brazil,0,2020-12-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-20
7,Brazil,0,2020-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-21
8,Brazil,0,2020-12-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-22
9,Brazil,0,2020-12-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-23
10,Brazil,0,2020-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-24
11,Brazil,0,2020-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-25
12,Brazil,0,2020-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-26
13,Brazil,0,2020-12-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-27
14,Brazil,0,2020-12-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-28
15,Brazil,0,2020-12-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-29
16,Brazil,0,2020-12-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-30
17,Brazil,0,2020-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-12-31
18,Brazil,0,2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-01
19,Brazil,0,2021-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-02
20,Brazil,0,2021-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-03
21,Brazil,0,2021-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-04
22,Brazil,0,2021-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-05
23,Brazil,0,2021-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-06
24,Brazil,0,2021-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-07
25,Brazil,0,2021-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-08
26,Brazil,0,2021-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-09
27,Brazil,0,2021-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-10
28,Brazil,0,2021-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-11
29,Brazil,0,2021-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-12
30,Brazil,0,2021-01-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-13
31,Brazil,0,2021-01-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-14
32,Brazil,0,2021-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-15
33,Brazil,BRA,2021-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-01-16
34,Brazil,BRA,2021-01-17,112.0,112.0,0.0,112.0,112.0,0.0,0.0,0.0,1.0,2021-01-17
35,Brazil,BRA,2021-01-18,1109.0,1109.0,0.0,997.0,554.0,0.0,0.0,0.0,3.0,2021-01-18
36,Brazil,BRA,2021-01-19,11470.0,11470.0,0.0,10361.0,3823.0,0.01,0.01,0.0,18.0,2021-01-19
37,Brazil,BRA,2021-01-20,28543.0,28543.0,0.0,17073.0,7136.0,0.01,0.01,0.0,34.0,2021-01-20
38,Brazil,BRA,2021-01-21,136519.0,136519.0,0.0,107976.0,27304.0,0.06,0.06,0.0,128.0,2021-01-21
39,Brazil,BRA,2021-01-22,245877.0,245877.0,0.0,109358.0,40980.0,0.12,0.12,0.0,193.0,2021-01-22
40,Brazil,BRA,2021-01-23,537774.0,537774.0,0.0,291897.0,76825.0,0.25,0.25,0.0,361.0,2021-01-23
41,Brazil,BRA,2021-01-24,604722.0,604722.0,0.0,66948.0,86373.0,0.28,0.28,0.0,406.0,2021-01-24
42,Brazil,BRA,2021-01-25,700608.0,700608.0,0.0,95886.0,99928.0,0.33,0.33,0.0,470.0,2021-01-25
43,Brazil,BRA,2021-01-26,848883.0,848883.0,0.0,148275.0,119630.0,0.4,0.4,0.0,563.0,2021-01-26
44,Brazil,BRA,2021-01-27,1129885.0,1129885.0,0.0,281002.0,157335.0,0.53,0.53,0.0,740.0,2021-01-27
45,Brazil,BRA,2021-01-28,1450900.0,1450900.0,0.0,321015.0,187769.0,0.68,0.68,0.0,883.0,2021-01-28
46,Brazil,BRA,2021-01-29,1668032.0,1656851.0,0.0,217132.0,203165.0,0.78,0.78,0.0,956.0,2021-01-29
47,Brazil,BRA,2021-01-30,2003211.0,1923813.0,0.0,335179.0,209348.0,0.94,0.91,0.0,985.0,2021-01-30
48,Brazil,BRA,2021-01-31,2074059.0,2046523.0,0.0,70848.0,209905.0,0.98,0.96,0.0,988.0,2021-01-31
49,Brazil,BRA,2021-02-01,2124307.0,2107624.0,0.0,50248.0,203386.0,1.0,0.99,0.0,957.0,2021-02-01
50,Brazil,BRA,2021-02-02,2292551.0,2292551.0,0.0,168244.0,206238.0,1.08,1.08,0.0,970.0,2021-02-02
51,Brazil,BRA,2021-02-03,2521704.0,2521704.0,0.0,229153.0,198831.0,1.19,1.19,0.0,935.0,2021-02-03
52,Brazil,BRA,2021-02-04,3073057.0,3073057.0,0.0,551353.0,231737.0,1.45,1.45,0.0,1090.0,2021-02-04
53,Brazil,BRA,2021-02-05,3074906.0,3074906.0,0.0,1849.0,200982.0,1.45,1.45,0.0,946.0,2021-02-05
54,Brazil,BRA,2021-02-06,3401383.0,3399421.0,1962.0,326477.0,199739.0,1.6,1.6,0.0,940.0,2021-02-06
55,Brazil,BRA,2021-02-07,3553681.0,3534004.0,19677.0,152298.0,211375.0,1.67,1.66,0.01,994.0,2021-02-07
56,Brazil,BRA,2021-02-08,3605538.0,3579850.0,25688.0,51857.0,211604.0,1.7,1.68,0.01,996.0,2021-02-08
